N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,6,16,5,0.8298,0.7863,0.5950,0.7339,0.6715,0.6600,0.3468,0.4173,0.0411,0.2500,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,2,8,16,5,0.4459,0.5393,0.3904,0.5312,0.1929,0.2683,0.1131,0.2278,0.0411,1.0100,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,2,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,2,16,5,0.9997,0.9976,0.0174,0.8550,0.9938,0.9732,0.8225,0.6064,0.0616,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,3,4,16,5,0.9843,0.9555,0.2162,0.8545,0.9392,0.8738,0.6884,0.5445,0.0616,0.1200,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,3,6,16,5,0.8907,0.8264,0.5532,0.7628,0.7759,0.7258,0.4347,0.4628,0.0616,0.1700,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,3,8,16,5,0.6793,0.6975,0.5432,0.6745,0.4549,0.4816,0.2193,0.3240,0.0616,0.5100,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,3,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,2,16,5,0.9997,0.9976,0.0174,0.8550,0.9943,0.9732,0.8236,0.6066,0.0821,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,4,4,16,5,0.9874,0.9633,0.1776,0.8586,0.9524,0.8951,0.7178,0.5508,0.0821,0.1000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,4,6,16,5,0.9251,0.8513,0.4903,0.7816,0.8305,0.7640,0.4893,0.4848,0.0821,0.1600,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,4,8,16,5,0.7592,0.7486,0.5704,0.7153,0.5689,0.5833,0.2732,0.3687,0.0821,0.3300,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,4,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
16,2,2,4,5,0.9911,0.9438,0.1324,0.6170,0.9715,0.8725,0.6443,0.7679,0.0154,0.1100,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,0.0700
