N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,2,4,5,0.9969,0.9711,0.0678,0.7965,0.9865,0.9286,0.8205,0.6979,0.0265,0.0600,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,2,4,4,5,0.8535,0.8107,0.3790,0.7481,0.6866,0.6416,0.3867,0.4684,0.0265,0.3800,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,3,2,4,5,0.9974,0.9738,0.0589,0.7938,0.9882,0.9351,0.8317,0.7045,0.0397,0.0500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,3,4,4,5,0.9133,0.8635,0.3129,0.7760,0.7897,0.7263,0.4820,0.5360,0.0397,0.2900,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,4,2,4,5,0.9974,0.9746,0.0589,0.7941,0.9885,0.9361,0.8324,0.7048,0.0530,0.0500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,4,4,4,5,0.9279,0.8750,0.2818,0.7804,0.8205,0.7504,0.5173,0.5525,0.0530,0.2500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,2,2,8,5,0.9989,0.9968,0.0220,0.8616,0.9894,0.9673,0.8173,0.6025,0.0411,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,2,4,8,5,0.9665,0.9056,0.3309,0.8180,0.9071,0.8280,0.6159,0.5225,0.0411,0.1300,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,2,6,8,5,0.8312,0.7801,0.5935,0.7329,0.6737,0.6573,0.3419,0.4197,0.0411,0.2300,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,2,8,8,5,0.4637,0.5380,0.3924,0.5334,0.2100,0.2792,0.1111,0.2276,0.0411,0.9200,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,3,2,8,5,0.9997,0.9976,0.0177,0.8550,0.9943,0.9732,0.8231,0.6064,0.0616,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,3,4,8,5,0.9797,0.9535,0.2228,0.8560,0.9392,0.8706,0.6879,0.5414,0.0616,0.1100,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,3,6,8,5,0.8970,0.8273,0.5498,0.7657,0.7781,0.7322,0.4422,0.4625,0.0616,0.1800,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,3,8,8,5,0.6908,0.7048,0.5661,0.6809,0.4685,0.4911,0.2145,0.3177,0.0616,0.4600,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,4,2,8,5,0.9997,0.9976,0.0174,0.8550,0.9943,0.9732,0.8236,0.6066,0.0821,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,4,4,8,5,0.9851,0.9670,0.1728,0.8618,0.9520,0.8961,0.7186,0.5533,0.0821,0.1000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,4,6,8,5,0.9242,0.8596,0.4911,0.7870,0.8318,0.7680,0.4903,0.4868,0.0821,0.1500,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,4,8,8,5,0.7626,0.7479,0.5801,0.7146,0.5702,0.5828,0.2683,0.3693,0.0821,0.3500,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,2,2,16,5,0.9997,0.9958,0.0217,0.8552,0.9930,0.9687,0.8195,0.6023,0.0411,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,2,4,16,5,0.9697,0.9024,0.3327,0.8146,0.9093,0.8284,0.6152,0.5214,0.0411,0.1300,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,2,6,16,5,0.8415,0.7882,0.5990,0.7388,0.6812,0.6614,0.3463,0.4205,0.0411,0.2400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,2,8,16,5,0.4788,0.5532,0.4365,0.5461,0.2034,0.2751,0.1081,0.2299,0.0411,0.9800,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,2,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,2,16,5,0.9997,0.9971,0.0174,0.8547,0.9943,0.9719,0.8230,0.6063,0.0616,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,3,4,16,5,0.9826,0.9540,0.2228,0.8535,0.9410,0.8793,0.6841,0.5433,0.0616,0.1100,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,3,6,16,5,0.8950,0.8366,0.5438,0.7738,0.7754,0.7313,0.4327,0.4649,0.0616,0.2000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,3,8,16,5,0.6871,0.6997,0.5523,0.6774,0.4553,0.4893,0.2124,0.3226,0.0616,0.4800,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,3,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,2,16,5,0.9997,0.9976,0.0174,0.8550,0.9943,0.9732,0.8236,0.6066,0.0821,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,4,4,16,5,0.9874,0.9604,0.1736,0.8552,0.9498,0.8929,0.7194,0.5525,0.0821,0.1000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,4,6,16,5,0.9262,0.8518,0.4931,0.7804,0.8340,0.7631,0.4884,0.4862,0.0821,0.1600,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,4,8,16,5,0.7626,0.7442,0.5798,0.7112,0.5702,0.5747,0.2760,0.3679,0.0821,0.3400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
8,4,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
16,2,2,4,5,0.9934,0.9511,0.1424,0.6258,0.9736,0.8783,0.6390,0.7696,0.0154,0.1000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,0.0700
16,2,4,4,5,0.6682,0.6219,0.2860,0.4461,0.4932,0.4073,0.2005,0.3573,0.0154,0.6200,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,0.2200
16,3,2,4,5,0.9931,0.9638,0.1021,0.6278,0.9823,0.9024,0.6674,0.7880,0.0232,0.0800,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,0.0700
16,3,4,4,5,0.8292,0.7347,0.3450,0.5238,0.6675,0.5546,0.2925,0.4821,0.0232,0.4200,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,0.2200
16,4,2,4,5,0.9954,0.9702,0.0867,0.6297,0.9865,0.9150,0.6806,0.7959,0.0309,0.0700,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,0.0700
16,4,4,4,5,0.8933,0.7753,0.3618,0.5410,0.7598,0.6389,0.3545,0.5520,0.0309,0.3000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,0.2200
16,2,2,8,5,0.9997,0.9973,0.0174,0.7699,0.9974,0.9761,0.8751,0.7260,0.0264,0.0300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,0.0200
16,2,4,8,5,0.9602,0.9073,0.2403,0.7936,0.8725,0.8009,0.5762,0.5874,0.0264,0.1700,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,0.0500
16,2,6,8,5,0.7162,0.7222,0.4339,0.6958,0.4722,0.4429,0.2318,0.3587,0.0264,0.6300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,0.1100
16,2,8,8,5,0.3275,0.1409,0.2838,0.1404,0.1858,0.0411,0.0282,0.1318,0.0264,1.0600,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,0.2900
16,3,2,8,5,1.0000,0.9961,0.0146,0.7606,0.9982,0.9761,0.8835,0.7353,0.0397,0.0200,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,0.0200
16,3,4,8,5,0.9814,0.9418,0.1590,0.7885,0.9360,0.8659,0.6765,0.6299,0.0397,0.1100,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,0.0500
16,3,6,8,5,0.8473,0.8239,0.3570,0.7589,0.6695,0.6366,0.3750,0.4740,0.0397,0.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,0.1100
16,3,8,8,5,0.4880,0.4368,0.3484,0.4329,0.3102,0.1490,0.0917,0.2428,0.0397,1.0300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,0.2900
16,4,2,8,5,1.0000,0.9978,0.0129,0.7611,0.9987,0.9801,0.8871,0.7385,0.0529,0.0200,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,0.0200
