N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,2,4,5,0.9960,0.9711,0.0686,0.7943,0.9858,0.9296,0.8208,0.6975,0.0265,0.0500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,2,4,4,5,0.8461,0.8132,0.3759,0.7461,0.6821,0.6267,0.3897,0.4671,0.0265,0.4100,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,3,2,4,5,0.9974,0.9743,0.0601,0.7943,0.9882,0.9354,0.8321,0.7045,0.0397,0.0500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,3,4,4,5,0.9093,0.8594,0.3149,0.7713,0.7921,0.7300,0.4875,0.5351,0.0397,0.2600,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,4,2,4,5,0.9974,0.9746,0.0589,0.7941,0.9885,0.9361,0.8324,0.7048,0.0530,0.0500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,0.0500
8,4,4,4,5,0.9268,0.8726,0.2809,0.7760,0.8164,0.7511,0.5167,0.5528,0.0530,0.2500,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,0.0200,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,0.2400
8,2,2,8,5,0.9997,0.9973,0.0269,0.8584,0.9930,0.9696,0.8180,0.6041,0.0411,0.0400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,0.0400
8,2,4,8,5,0.9691,0.9188,0.3312,0.8317,0.9106,0.8307,0.6086,0.5183,0.0411,0.1400,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,0.0900
8,2,6,8,5,0.8275,0.7806,0.5932,0.7334,0.6750,0.6600,0.3409,0.4162,0.0411,0.2300,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,0.1500
8,2,8,8,5,0.4720,0.5390,0.4268,0.5319,0.1986,0.2755,0.1082,0.2234,0.0411,0.9800,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,0.0100,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,0.3200
